threshold,f1_baseline,f1_propagated,precision_baseline,precision_propagated,recall_baseline,recall_propagated
0.01,0.09704410568059459,0.00444287069662332,0.06969151172010878,0.0026457231441744736,0.3891783787512176,0.47720163695843687
0.05,0.09704410568059459,0.00444287069662332,0.06969151172010878,0.0026457231441744736,0.3891783787512176,0.47720163695843687
0.1,0.09778507635160216,0.0045330082302254245,0.07059469167148048,0.0027232728680667492,0.38859396373968075,0.47659766890318905
0.15,0.1253028371557546,0.007319796038435085,0.11398465577057663,0.005252944629478347,0.3518056096154029,0.439499537265782
0.2,0.15299442462141252,0.010703705296684263,0.15530125088532196,0.008288326589786238,0.3165460001205333,0.40120724138815067
0.3,0.17374843164948506,0.01466569640712575,0.21129180820131876,0.013249858178601812,0.2606371422731488,0.3382346785335634
0.4,0.17983715068713402,0.017892252987598164,0.2418447286674387,0.01764284600108869,0.22222314175461852,0.2931472492733537
0.5,0.17308282181940826,0.019490698106769767,0.24885990589204235,0.020370949147695227,0.19307976529559182,0.25727117537827665
